timestamp,left_x,left_y,right_x,right_y,gaze_x,gaze_y,blink
2025-05-09 02:08:37.087140,326.0,274.0,401.0,285.0,364.0,278.0,0
2025-05-09 02:08:37.105957,326.0,274.0,401.0,285.0,363.0,279.0,0
2025-05-09 02:08:37.131790,327.0,274.0,395.0,284.0,363.0,279.0,0
2025-05-09 02:08:37.148971,327.0,274.0,395.0,284.0,362.0,279.0,0
2025-05-09 02:08:37.199236,324.0,274.0,393.0,284.0,361.0,279.0,0
2025-05-09 02:08:37.234041,324.0,274.0,393.0,284.0,360.0,279.0,0
2025-05-09 02:08:37.266350,323.0,275.0,391.0,284.0,359.0,279.0,0
2025-05-09 02:08:37.287320,323.0,275.0,393.0,284.0,358.0,279.0,0
2025-05-09 02:08:37.325540,322.0,275.0,398.0,286.0,358.0,279.0,0
2025-05-09 02:08:37.361882,322.0,275.0,398.0,286.0,358.0,279.0,0
2025-05-09 02:08:37.388020,325.0,276.0,398.0,286.0,359.0,279.0,0
2025-05-09 02:08:37.439416,326.0,277.0,400.0,288.0,360.0,280.0,0
2025-05-09 02:08:37.476471,326.0,277.0,400.0,288.0,361.0,281.0,0
2025-05-09 02:08:37.506213,328.0,277.0,402.0,289.0,362.0,281.0,0
2025-05-09 02:08:37.549024,328.0,277.0,402.0,289.0,363.0,282.0,0
2025-05-09 02:08:37.586572,331.0,279.0,403.0,290.0,364.0,282.0,0
2025-05-09 02:08:37.621523,331.0,279.0,403.0,289.0,365.0,283.0,0
2025-05-09 02:08:37.638674,329.0,278.0,405.0,290.0,366.0,283.0,0
2025-05-09 02:08:37.677502,331.0,278.0,406.0,291.0,366.0,283.0,0
2025-05-09 02:08:37.699908,330.0,278.0,406.0,291.0,367.0,284.0,0
2025-05-09 02:08:37.740678,330.0,278.0,407.0,291.0,367.0,284.0,0
2025-05-09 02:08:37.756978,330.0,278.0,407.0,291.0,367.0,284.0,0
2025-05-09 02:08:37.789515,330.0,280.0,407.0,291.0,368.0,284.0,0
2025-05-09 02:08:37.825607,330.0,280.0,407.0,291.0,368.0,284.0,0
2025-05-09 02:08:37.851263,331.0,280.0,407.0,292.0,368.0,284.0,0
2025-05-09 02:08:37.919533,331.0,281.0,407.0,292.0,368.0,285.0,0
2025-05-09 02:08:37.948490,331.0,280.0,407.0,292.0,368.0,285.0,0
2025-05-09 02:08:37.976705,331.0,281.0,406.0,293.0,368.0,286.0,0
2025-05-09 02:08:38.008100,331.0,281.0,406.0,293.0,368.0,286.0,0
2025-05-09 02:08:38.027085,330.0,282.0,412.0,294.0,369.0,286.0,0
2025-05-09 02:08:38.044529,330.0,282.0,412.0,294.0,369.0,287.0,0
2025-05-09 02:08:38.093396,330.0,283.0,396.0,293.0,368.0,287.0,0
2025-05-09 02:08:38.129385,330.0,283.0,396.0,293.0,367.0,287.0,0
2025-05-09 02:08:38.153675,330.0,284.0,396.0,294.0,366.0,288.0,0
